Name,Height,Pos,Team,img_Link,PTS,AST,REB,PIE
Clint Capela,208.28,Center,HOU,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/clint_capela.png,13.9,0.9,10.8,0.155
DeMarre Carroll,203.2,Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/demarre_carroll.png,13.5,2.0,6.6,0.101
Vince Carter,198.12,Guard-Forward,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/vince_carter.png,5.4,1.2,2.6,0.073
Michael Carter-Williams,198.12,Guard,CHA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/michael_carter-williams.png,4.6,2.2,2.7,0.07
Alex Caruso,195.58,Guard,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/alex_caruso.png,3.6,2.0,1.8,0.062
Willie Cauley-Stein,213.36,Center,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/willie_cauley-stein.png,12.8,2.4,7.0,0.115
Tyler Cavanaugh,205.74,Forward,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyler_cavanaugh.png,4.7,0.7,3.3,0
Mario Chalmers,187.96,Guard,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/mario_chalmers.png,7.7,3.0,2.4,0.072
Tyson Chandler,215.9,Center,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyson_chandler.png,6.5,1.2,9.1,0.108
Wilson Chandler,205.74,Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/wilson_chandler.png,10.0,2.1,5.4,0.071
Marquese Chriss,208.28,Forward,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/marquese_chriss.png,7.7,1.2,5.5,0.075
Ian Clark,190.5,Guard,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ian_clark.png,5.3,1.1,1.3,0
Jordan Clarkson,195.58,Guard,CLE,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jordan_clarkson.png,13.9,2.7,2.7,0.115
Antonius Cleveland,198.12,Guard,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/antonius_cleveland.png,1.4,0.1,0.8,0.005
John Collins,208.28,Forward-Center,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/john_collins.png,10.5,1.3,7.3,0.119
Zach Collins,213.36,Center-Forward,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/zach_collins.png,4.4,0.8,3.3,0.052
Kyle Collinsworth,198.12,Guard,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kyle_collinsworth.png,3.2,1.8,3.3,0.066
Darren Collison,187.96,Guard,IND,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/darren_collison.png,12.4,5.3,2.6,0.114
Nick Collison,208.28,Forward-Center,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/nick_collison.png,5.9,1.0,5.2,0
Mike Conley,185.42000000000002,Guard,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/mike_conley.png,17.1,4.1,2.3,0.11
Pat Connaughton,195.58,Guard-Forward,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/pat_connaughton.png,5.4,1.1,2.0,0.058
Quinn Cook,187.96,Guard,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/quinn_cook.png,9.5,2.7,2.5,0.087
Charles Cooke,195.58,Guard,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/charles_cooke.png,0.5,0.1,0.2,-0.034
Jack Cooley,208.28,Center-Forward,SAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jack_cooley.png,5.7,0.9,4.3,0.143
Matt Costello,208.28,Forward-Center,SAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/matt_costello.png,1.0,0.5,2.3,0.057
DeMarcus Cousins,210.82,Center,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/demarcus_cousins.png,25.2,5.4,12.9,0.167
Robert Covington,205.74,Forward,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/robert_covington.png,12.6,2.0,5.4,0.09
Allen Crabbe,198.12,Guard-Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/allen_crabbe.png,13.2,1.6,4.3,0.084
Torrey Craig,198.12,Guard-Forward,DEN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/torrey_craig.png,4.2,0.6,3.3,0.056
Jamal Crawford,195.58,Guard,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jamal_crawford.png,10.3,2.3,1.2,0.079
Jordan Crawford,195.58,Guard,WAS,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jordan_crawford.png,6.6,2.6,0.8,0.09
Jae Crowder,198.12,Forward,UTA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jae_crowder.png,9.7,1.2,3.4,0.061
Dante Cunningham,203.2,Forward,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dante_cunningham.png,5.7,0.7,4.1,0.065
Seth Curry,187.96,Guard,DAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/seth_curry.png,12.8,2.7,2.6,0.103
Stephen Curry,190.5,Guard,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/stephen_curry.png,26.4,6.1,5.1,0.165
Troy Daniels,193.04,Guard,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/troy_daniels.png,8.9,0.6,1.6,0.058
Anthony Davis,208.28,Forward-Center,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/anthony_davis.png,28.1,2.3,11.1,0.188
Deyonta Davis,210.82,Center-Forward,MEM,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/deyonta_davis.png,5.8,0.6,4.0,0.108
Ed Davis,208.28,Forward-Center,POR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/ed_davis.png,5.3,0.5,7.4,0.115
DeMar DeRozan,200.66,Guard,TOR,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/demar_derozan.png,23.0,5.2,3.9,0.135
Dewayne Dedmon,213.36,Center,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/dewayne_dedmon.png,10.0,1.5,7.9,0.118
Sam Dekker,205.74,Forward,LAC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/sam_dekker.png,4.2,0.5,2.4,0.079
Malcolm Delaney,190.5,Guard,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/malcolm_delaney.png,6.3,3.0,1.9,0.081
Matthew Dellavedova,193.04,Guard,MIL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/matthew_dellavedova.png,4.3,3.8,1.7,0.061
Luol Deng,205.74,Forward,LAL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/luol_deng.png,2.0,1.0,0.0,0.039
Cheick Diallo,205.74,Forward,NOP,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/cheick_diallo.png,4.9,0.4,4.1,0.118
Gorgui Dieng,210.82,Center,MIN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/gorgui_dieng.png,5.9,0.9,4.6,0.093
Spencer Dinwiddie,198.12,Guard,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/spencer_dinwiddie.png,12.6,6.6,3.2,0.108
Tyler Dorsey,195.58,Guard,ATL,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/tyler_dorsey.png,7.2,1.4,2.3,0.07
Damyean Dotson,195.58,Guard,NYK,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/damyean_dotson.png,4.1,0.7,1.9,0.092
Milton Doyle,193.04,Guard,BKN,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/milton_doyle.png,3.4,1.0,1.8,0.03
PJ Dozier,198.12,Guard,OKC,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/pj_dozier.png,1.0,0.0,0.5,0.0
Goran Dragic,190.5,Guard,MIA,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/goran_dragic.png,17.3,4.8,4.1,0.116
Larry Drew II,187.96,Guard,PHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/larry_drew ii.png,1.7,1.0,0.3,0.009
Andre Drummond,210.82,Center,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/andre_drummond.png,15.0,3.0,16.0,0.156
Jared Dudley,200.66,Forward,PHX,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jared_dudley.png,3.2,1.6,2.0,0.062
Kris Dunn,193.04,Guard,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kris_dunn.png,13.4,6.0,4.3,0.095
Kevin Durant,205.74,Forward,GSW,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/kevin_durant.png,26.4,5.4,6.8,0.168
Jarell Eddie,200.66,Guard-Forward,CHI,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/jarell_eddie.png,0.0,0.0,0.3,0.0
Henry Ellenson,210.82,Forward,DET,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/statscube/players/large/henry_ellenson.png,4.0,0.5,2.1,0.096
